iter	MAE	RMSE
832	0.2503871207	0.3807004953
833	0.2503608683	0.3806527809
834	0.250348644	0.3806128884
835	0.2502868454	0.3805062079
836	0.2502312329	0.3804352214
837	0.2501863165	0.3803703963
838	0.2501562768	0.3803202452
839	0.2500900613	0.3802231087
840	0.2499937927	0.3800796437
841	0.2499579761	0.3800171369
842	0.2498246489	0.3798944667
843	0.249771805	0.379788365
844	0.2496541944	0.3796684371
845	0.2496377954	0.3796288741
846	0.2496067778	0.3795803529
847	0.2495484191	0.3794766439
848	0.2494924659	0.3793758452
849	0.2494069185	0.3792493686
850	0.2493386439	0.3791525647
851	0.2492663775	0.3790762063
852	0.2491887534	0.378978524
853	0.2491589747	0.3789375807
854	0.2491165054	0.378885594
855	0.2489684506	0.3787066975
856	0.2489293884	0.3786281621
857	0.2488959705	0.3785724628
858	0.2488905311	0.3785572841
859	0.2488656003	0.3784987023
860	0.2488151613	0.378408897
861	0.2487557627	0.3783264184
862	0.2486395985	0.3781553749
863	0.2485993583	0.3781116155
864	0.2485263422	0.3780257128
865	0.2484543592	0.3779528604
866	0.248415264	0.377916837
867	0.2483805218	0.3778686556
868	0.2483768015	0.3778644899
869	0.248375619	0.3778605378
870	0.248312444	0.3777672676
871	0.2482183611	0.3776317949
872	0.2481969387	0.3775849691
873	0.2481315607	0.3775052994
874	0.2480853629	0.3774516885
875	0.248063185	0.3773988872
876	0.2480387869	0.3773527277
877	0.2480113136	0.3773153458
878	0.2479918702	0.3772592283
879	0.2479578887	0.3771871766
