make,model,annual_dep_rate
CHEVROLET,CAMARO ZL1,0.1533607215439537
CHEVROLET,CAPRICE,0.1478330733605449
CHEVROLET,CAPRICE CLASSIC,0.0923076923076924
CHEVROLET,CAPRICE LS,0.135661726309024
CHEVROLET,CAPTIVA,0.1190366991054817
CHEVROLET,CAPTIVA EV,0.1190366991054817
CHEVROLET,CAPTIVA PHEV,0.1190366991054817
CHEVROLET,CAVALIER,6.661338147750939e-16
CHEVROLET,CHEVROLET,0.135661726309024
CHEVROLET,CHEVROLET BLAZER,0.135661726309024
CHEVROLET,CHEVROLET CHEVY,0.135661726309024
CHEVROLET,CHEVROLET EL CAMI,0.025
CHEVROLET,CHEVROLET EXPRESS,0.135661726309024
CHEVROLET,COLORADO,0.1393470610132384
CHEVROLET,CORVETTE,0.1432174201393906
CHEVROLET,CRUIZ,0.135661726309024
CHEVROLET,CRUZE,0.1116859847980559
CHEVROLET,CRUZE HATCHBACK,0.1116859847980559
CHEVROLET,CSV CR8,0.2075049675244086
CHEVROLET,DEFENDER,0.135661726309024
CHEVROLET,ENVOY,0.135661726309024
CHEVROLET,EPICA,0.2210456110509896
CHEVROLET,EQUINOX,0.1546804795114988
CHEVROLET,EQUINOX EV,0.1546804795114988
CHEVROLET,EXPRESS,0.1419352060925064
CHEVROLET,GROOVE,0.0617222227758472
CHEVROLET,IMPALA,0.1558917717184238
CHEVROLET,LACETTI,0.135661726309024
CHEVROLET,LAF,0.135661726309024
CHEVROLET,LUMINA,0.2075049675244086
CHEVROLET,LUV,0.135661726309024
CHEVROLET,MALIBU,0.1212011016359718
CHEVROLET,MALIBU 400,0.135661726309024
CHEVROLET,MALIBU SEDAN,0.135661726309024
CHEVROLET,MASTER DELUXE,0.035
CHEVROLET,MENLO,0.135661726309024
CHEVROLET,OPTRA,0.1470243850985791
CHEVROLET,S10,0.135661726309024
CHEVROLET,SELVERADO,0.135661726309024
CHEVROLET,SIERRA,0.2756632847010697
CHEVROLET,SILVERADO,0.1341907684483403
CHEVROLET,SILVERADO K3500,0.135661726309024
CHEVROLET,SLINGSHOT,0.135661726309024
CHEVROLET,SMB,0.135661726309024
CHEVROLET,SONIC,0.1431532647119229
CHEVROLET,SONIC HATCHBACK,0.1431532647119229
CHEVROLET,SPARK,0.1650291032292581
CHEVROLET,SPARK EUV,0.0608571428571429
CHEVROLET,SSR,0.0107538401963271
CHEVROLET,SUBURBAN,0.1347201267121999
CHEVROLET,T-SERIES,0.1393470610132384
CHEVROLET,TAHOE,0.1481635634946849
CHEVROLET,TAHOE K1500 (4WD),0.135661726309024
CHEVROLET,TRAILBLAZER,0.1462963887855689
CHEVROLET,TRAVERSE,0.1292052473865338
CHEVROLET,TRAVERSE STATION,0.135661726309024
CHEVROLET,TRAX,0.1390030299839021
CHEVROLET,TRAX RS,0.135661726309024
CHEVROLET,UPLANDER,0.1608342431933559
CHEVROLET,VENTURE,0.135661726309024
CHRYSLER,200,0.1207583330380533
CHRYSLER,200C,0.2432598039215638
CHRYSLER,300,0.1668854518511813
CHRYSLER,300 C,0.1419743582981477
CHRYSLER,300C,0.1198967225014423
CHRYSLER,300S,0.197793469887773
CHRYSLER,C 300,0.2743652502055941
CHRYSLER,C300,0.1419743582981477
CHRYSLER,CHRYSLER TWON ANC,0.1419743582981477
CHRYSLER,CROSSFIRE,0.0690673090764252
CHRYSLER,GRAND VOYAGER,0.1290353604763434
CHRYSLER,NEON,0.1419743582981477
CHRYSLER,PACIFICA,0.2202182230029733
CHRYSLER,PROWLER,0.1419743582981477
CHRYSLER,PT CRUISER,-0.051020408163265
CHRYSLER,SEBRING,0.1419743582981477
CHRYSLER,TOWN & COUNTRY,0.1419743582981477
CITROEN,BERLINGO,0.1975019516003132
CITROEN,C 3,0.1090162284147051
CITROEN,C-ELYSEE,0.1090162284147051
CITROEN,C3,0.1090162284147051
CITROEN,C3 AIRCROSS,0.0348548786093592
CITROEN,C4,0.144100064311057
CITROEN,C4 AIRCROSS,0.1090162284147051
CITROEN,C4X,0.1090162284147051
CITROEN,C5,-0.1196277689732503
CITROEN,C5 AIRCROSS,0.1003062038945583
CITROEN,CITROEN C3,0.1090162284147051
CITROEN,CITROEN C5,0.0903880013338007
CITROEN,DS,0.1090162284147051
CITROEN,DS3,0.1609709769749826
CITROEN,DS4,0.1090162284147051
CITROEN,DS5,0.1207729468599042
CITROEN,JUMPY,0.1090162284147051
CITROEN,JUMPY PANEL VAN XL,0.1090162284147051
CITROEN,SPACETOURER,0.1189392098487047
CMC,7Z,0.0913274877033524
CMC,D260 PANEL VAN,0.0913274877033524
CMC,D270,0.1102434789973904
CMC,ENVOY,0.0913274877033524
CMC,FEREECA,0.0913274877033524
CMC,PANEL VAN,0.0913274877033524
CMC,VERYCA,0.0801952998167323
CMC,Z7,0.1180491026878487
DAIHATSU,CHARADE,-0.1560877928013099
DAIHATSU,DAIHATSU,-0.1560877928013099
DAIHATSU,EVIO,-0.1560877928013099
DAIHATSU,GRAN MAX,0.0801642376442022
DAIHATSU,GRAND MAX,-0.1560877928013099
DAIHATSU,MATERIA,0.1485439980791124
DAIHATSU,ROCKY,-11.612244897959174
DAIHATSU,SIRION,0.1414889765433634
